username,comment
heri_dollphin,lekas membaik mahameru dan semoga ga ada korban jiwa buat warga lumajang😢
mahaasigmaaa,pegang abu vulkanik rasanya gimana yaa
_denbaguss,Kebiasaan warga indo sudah tau ada bencana lebih mentingin konten dari pada nyawanya hadeh🤦
avip.hans,semoga warga yg berada disekitar selalu diberikan perlindungan dan keselamatan 🤲
fauzanayy_,@musyfiqaz gajadi dah
blue_rider27,Duhh mana desember mau ke rakum
rifkiardnss,Rakum katanya tutup sementara ya
ilhsam_,semeruuu😥
iamumarfadil,Semeruuuu🥺
mhmmadfikri.v,PRAY FOR SEMERU 😢🤲🏻
sanpalam.official,"Sambung doa ya kawan-kawan semua, semoga semua kita yang ada di Lumajang diberikan perlindungan dari semua mara bahaya. Aaminn 🤲"
muh_fuadwhydi,"lekas membaik semeru, ini samarinda aman yakan dari erupsi?"
backpackerkusam_,Itu orang yg di jembatan punya nyawa berapa si udah di bilangin suruh mundur mundur
sae_marno,"Itu yg mengalir di bawah jembatan bukane termasuk awan panas,kok pada gak takut itu.."
badruuunnn_,stay safe guys
syaputra.7,Ya Allah semoga GK ada korban jiwa Amiiiiiiiin🤲
alimardian21,Lekas pulih Mahameru 😇
ranianggraeniii__,semoga semuanya baik baik ajaaaa🤲🏻
renhd19,Pake masker pak
whooppsiess,oh no😢
ahnafyumna_,semoga mandali🙏
pradika_kusuma_raharjo_,@nanang.harianto052021 piye siap dadi relawan mrene tah suhu ?
ariawaaan_,Semoga mandali
kenalingivi,Baru kemarin dari situ😢.semoga mandali ❤️
3yna4_,Lekas pulih atap jawa ❤️
sonsnstrsn,"pemotor lain keluar , pemotor satunya malah masuk 😢"
dzawin_nrr,Katanya pendaki yang di rakum hari ini akan di evakuasi turun apakah betul?
maliq555555,Musim hujan kondisi hujan . Asap tambah banyak. Hawa panas tersiram air hujan
lupeek_,part terakhir bikin jengkel liat nya suruh minggir susah bener
elfarhani99,"Refi di panggil kok ya, ora krungu"
lembangputra1,lekas membaik 🔥😢
rdiarb,bagaimana jika seumur hidup kita tidak pernah menginjakkan kaki di atap pulau jawa 😢 #lekaspulihmahameru
rhmaanjaniii,ya Allah orang2 yg di rakum gimana kabarnya😢😢
rdilhamm_,bro yang sedang video 🔥
hei.dita,Lekass membaik mahameru😭🤲🏻
irfanasdi,Pendaki aman min?
ndyoktyn,Rakum rakum😭
cantigiii__,lekass membaikkk 😢❤️
dawardatul,"Slide 5 😰😰 lari buk jangan deket"" 😭"
bayu.k__,Min kalau info volunteer kabarin ya
about.skye,"Stay safe warga,JANGAN LUPA MINTA PERLINDUNGAN SAMA ALLAH❤️💪🏼"
bacotcerdas70,Refi badeg banget😢
eve_sofiaty,Hasbunallah wanimal wakil 🙏🏼🙏🏼🙏🏼
kukuhwinarko_15,semoga teman2 yang di Ranu kumbolo tetap aman 🤲
mferyrfldy,cepet membaik semeru❤️
brojons129,Lekas membaik SEMERU😭
nafiisss___,@nii_axyxz jembatan sg lewat kpanane kae jo
srie_april_rahmadani,Ya allah semoga lekas membaik mahameru 🤲🤲🥺
rndyytraa,"mana udh book rakum buat desember😢
semoga cepet pulih"
rielstuf,slide 5 nggawe emosi
elzyjazayantim,Semoga warga disana aman dan semoga tidak ada korban 🙏🏼🤲🏻🤲🏻
knsnadsn,oewalah fi refi ki marai ibuk e deg degan ae
__dafarai,lekas membaik kembali Mahameru🙌❤️
aswarabdullh_,Yg di rakum apa kabar min oiii
kang_tono_uf,"Awan panas nyedak, malah ira ngalih. Jan mendo"
agungmasofi_,Semoga segera membaik 💔 Persiapan udah mateng banget mau ke rakum desember 😭
rizkprstyo36,Salut ibu nya ga panik
anwrh_,"Lar lur lar lur, gua yang panik 😭"
tantanahmad12,Semoga semua di beri keselamatan
riswanto_kuncung,"Utamakan keselamatan ya, slide trahir kok meresahkan bgt ya.."
heeengkii,gawe tontonan toh lekkk ndang lungo bajjgn
apexz_07,"Ternyata batas pendakian hanya sampai oro oro ombo itu untuk keselamatan pendaki juga karna Semeru masih rawan erupsi besar, semoga semuanya aman ❤️"
abcdefauzijklmn,ndang sae nggeh mbahh ❤️❤️😢
bakrieariezal,Alasan kenapa Mahameru sdh tdk bisa dibuka sampe puncak lagi. Bisa sampai rakum aja udh bagus
ari.ptra_,hemm sek erupsi @intankumalasari__
radityabhirawa,Itu yg slide 5 mereka tau gasih kalo di depan mereka tu awan panas😭
